Temps (ms), Température (°C), Humidité (%), Pression (hPa), TVOC (ppb), eCO2 (ppm), Latitude, Longitude
365417,4.23,65.31,994.15,0,413,48.844152,2.615198
366503,4.22,65.37,994.15,0,416,48.844132,2.615188
367592,4.21,65.33,994.18,0,400,48.844115,2.615169
368678,4.19,65.13,994.23,0,402,48.844096,2.61515
369764,4.18,65.35,994.3,0,400,48.844073,2.615142
370850,4.14,65.39,994.38,0,400,48.844047,2.615145
371936,4.11,65.29,994.4,0,400,48.843989,2.615155
373022,4.08,65.24,994.43,0,400,48.843961,2.615154
374108,4.06,65.16,994.55,0,400,48.843932,2.615154
375194,4.05,65.0,994.5,0,400,48.843903,2.615151
376280,4.02,64.72,994.48,0,400,48.843872,2.615148
377368,4.02,65.07,994.55,0,400,48.843843,2.615152
378454,4.03,65.19,994.4,0,400,48.843814,2.615157
379540,4.04,65.3,994.45,0,414,48.843783,2.61516
380626,4.07,65.42,994.33,0,414,48.843754,2.615171
381712,4.09,65.35,994.35,0,412,48.843725,2.615186
382798,4.1,65.27,994.33,1,415,48.843698,2.615191
383884,4.14,65.32,994.25,0,414,48.843671,2.615191
384970,4.15,65.28,994.3,0,404,48.84362,2.615197
386056,4.13,65.33,994.2,0,413,48.843595,2.615209
387145,4.17,65.35,994.25,0,415,48.843569,2.615218
388231,4.19,65.24,994.2,0,410,48.843543,2.615224
389317,4.17,65.29,994.15,5,416,48.843516,2.615224
390403,4.19,65.29,994.15,10,430,48.843488,2.615222
391489,4.22,65.09,994.08,9,431,48.843463,2.615217
392575,4.23,64.88,994.03,9,425,48.843438,2.615212
393661,4.26,64.7,994.03,6,421,48.843416,2.615196
394747,4.26,64.71,994.0,9,434,48.843401,2.615165
395850,4.28,64.83,994.08,9,444,48.843397,2.615128
396938,4.28,64.84,994.05,4,427,48.843399,2.615091
398024,4.28,64.83,994.0,11,431,48.843417,2.615023
399110,4.3,64.84,994.0,6,431,48.843431,2.614993
400196,4.34,64.81,994.0,8,428,48.843446,2.61496
401282,4.34,64.81,994.0,4,419,48.843461,2.61493
402368,4.34,64.79,994.05,0,415,48.843479,2.614902
403454,4.35,64.63,994.03,0,411,48.843495,2.614873
404540,4.33,64.68,994.05,1,420,48.843504,2.614838
405628,4.32,64.65,994.0,2,436,48.843504,2.614801
406714,4.33,64.53,993.98,12,456,48.84349,2.614767
407800,4.35,64.53,994.0,15,468,48.84347,2.614743
408886,4.37,64.51,993.9,28,486,48.84345,2.614725
409972,4.38,64.86,993.9,36,495,48.843409,2.61469
411058,4.39,64.93,993.85,38,493,48.843347,2.614629
412144,4.43,64.89,993.83,40,488,48.843365,2.614678
